Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0603_1608Metric,149.86,-73.66,90.0,top
D2,LED,LED_0603_1608Metric,152.4,-73.66,90.0,top
D3,LED,LED_0603_1608Metric,154.94,-73.66,90.0,top
D4,LED,LED_0603_1608Metric,157.48,-73.66,90.0,top
D5,LED,LED_0603_1608Metric,160.02,-73.66,90.0,top
D6,LED,LED_0603_1608Metric,162.56,-73.66,90.0,top
D7,LED,LED_0603_1608Metric,165.1,-73.66,90.0,top
D8,LED,LED_0603_1608Metric,167.64,-73.66,90.0,top
D9,LED,LED_0603_1608Metric,170.18,-73.66,90.0,top
D10,LED,LED_0603_1608Metric,149.86,-81.28,-90.0,top
D11,LED,LED_0603_1608Metric,152.4,-81.28,-90.0,top
D12,LED,LED_0603_1608Metric,154.94,-81.28,-90.0,top
D13,LED,LED_0603_1608Metric,157.48,-81.28,-90.0,top
D14,LED,LED_0603_1608Metric,160.02,-81.28,-90.0,top
D15,LED,LED_0603_1608Metric,162.56,-81.28,-90.0,top
D16,LED,LED_0603_1608Metric,165.1,-81.28,-90.0,top
D17,LED,LED_0603_1608Metric,167.64,-81.28,-90.0,top
D18,LED,LED_0603_1608Metric,170.18,-81.28,-90.0,top
J1,Conn_01x09,PinHeader_1x09_P2.54mm_Vertical,160.01,-68.58,270.0,bottom
J2,Conn_01x09,PinHeader_1x09_P2.54mm_Vertical,160.01,-86.36,270.0,bottom
J3,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,143.515,-68.58,270.0,bottom
Q1,Q_NMOS_GSD,SOT-23,142.24,-73.66,270.0,bottom
Q2,Q_NMOS_GSD,SOT-23,145.7325,-73.66,270.0,bottom
Q3,Q_NMOS_GSD,SOT-23,149.225,-73.66,270.0,bottom
Q4,Q_NMOS_GSD,SOT-23,152.7175,-73.66,270.0,bottom
Q5,Q_NMOS_GSD,SOT-23,156.21,-73.66,270.0,bottom
Q6,Q_NMOS_GSD,SOT-23,159.7025,-73.66,270.0,bottom
Q7,Q_NMOS_GSD,SOT-23,163.195,-73.66,270.0,bottom
Q8,Q_NMOS_GSD,SOT-23,166.6875,-73.66,270.0,bottom
Q9,Q_NMOS_GSD,SOT-23,170.18,-73.66,270.0,bottom
Q10,Q_NMOS_GSD,SOT-23,142.24,-81.28,90.0,bottom
Q11,Q_NMOS_GSD,SOT-23,145.7325,-81.28,90.0,bottom
Q12,Q_NMOS_GSD,SOT-23,149.225,-81.28,90.0,bottom
Q13,Q_NMOS_GSD,SOT-23,152.7175,-81.28,90.0,bottom
Q14,Q_NMOS_GSD,SOT-23,156.21,-81.28,90.0,bottom
Q15,Q_NMOS_GSD,SOT-23,159.7025,-81.28,90.0,bottom
Q16,Q_NMOS_GSD,SOT-23,163.195,-81.28,90.0,bottom
Q17,Q_NMOS_GSD,SOT-23,166.6875,-81.28,90.0,bottom
Q18,Q_NMOS_GSD,SOT-23,170.18,-81.28,90.0,bottom
R1,56,R_0402_1005Metric,149.86,-71.12,0.0,top
R2,56,R_0402_1005Metric,152.4,-71.12,0.0,top
R3,56,R_0402_1005Metric,154.94,-71.12,0.0,top
R4,56,R_0402_1005Metric,157.48,-71.12,0.0,top
R5,56,R_0402_1005Metric,160.02,-71.12,0.0,top
R6,56,R_0402_1005Metric,162.56,-71.12,0.0,top
R7,56,R_0402_1005Metric,165.1,-71.12,0.0,top
R8,56,R_0402_1005Metric,167.64,-71.12,0.0,top
R9,56,R_0402_1005Metric,170.18,-71.12,0.0,top
R10,1k,R_0402_1005Metric,142.24,-71.12,180.0,bottom
R11,1k,R_0402_1005Metric,145.7325,-71.12,180.0,bottom
R12,1k,R_0402_1005Metric,149.225,-71.12,180.0,bottom
R13,1k,R_0402_1005Metric,152.7175,-71.12,180.0,bottom
R14,1k,R_0402_1005Metric,156.21,-71.12,180.0,bottom
R15,1k,R_0402_1005Metric,159.7025,-71.12,180.0,bottom
R16,1k,R_0402_1005Metric,163.195,-71.12,180.0,bottom
R17,1k,R_0402_1005Metric,166.6875,-71.12,180.0,bottom
R18,1k,R_0402_1005Metric,170.18,-71.12,180.0,bottom
R19,56,R_0402_1005Metric,149.86,-83.82,0.0,top
R20,56,R_0402_1005Metric,152.4,-83.82,0.0,top
R21,56,R_0402_1005Metric,154.94,-83.82,0.0,top
R22,56,R_0402_1005Metric,157.48,-83.82,0.0,top
R23,56,R_0402_1005Metric,160.02,-83.82,0.0,top
R24,56,R_0402_1005Metric,162.56,-83.82,0.0,top
R25,56,R_0402_1005Metric,165.1,-83.82,0.0,top
R26,56,R_0402_1005Metric,167.64,-83.82,0.0,top
R27,56,R_0402_1005Metric,170.18,-83.7565,0.0,top
R28,1k,R_0402_1005Metric,142.24,-83.7565,0.0,bottom
R29,1k,R_0402_1005Metric,145.7325,-83.7565,0.0,bottom
R30,1k,R_0402_1005Metric,149.225,-83.7565,0.0,bottom
R31,1k,R_0402_1005Metric,152.7175,-83.7565,0.0,bottom
R32,1k,R_0402_1005Metric,156.21,-83.7565,0.0,bottom
R33,1k,R_0402_1005Metric,159.7025,-83.7565,0.0,bottom
R34,1k,R_0402_1005Metric,163.195,-83.7565,0.0,bottom
R35,1k,R_0402_1005Metric,166.6875,-83.7565,0.0,bottom
R36,1k,R_0402_1005Metric,170.18,-83.7565,0.0,bottom
